// 商店名稱字串定義檔, 複製到 GameResource.txt

[name]

item = 17000,成都兵器鋪
item = 17683,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17684,汝南工坊
item = 17685,工匠
item = 17686,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17687,襄陽工坊
item = 17688,工匠
item = 17689,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17690,長沙工坊
item = 17691,工匠
item = 17692,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17693,江夏工坊
item = 17694,工匠
item = 17695,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17696,徐州工坊
item = 17697,工匠
item = 17698,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17699,江州工坊
item = 17700,工匠
item = 17701,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17702,北海工坊
item = 17703,工匠
item = 17704,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17705,長安工坊
item = 17706,工匠
item = 17707,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17708,漢中工坊
item = 17709,工匠
item = 17710,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17711,桂陽工坊
item = 17712,工匠
item = 17713,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17714,北平工坊
item = 17715,工匠
item = 17716,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17717,遼東工坊
item = 17718,工匠
item = 17719,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17720,高句麗工坊
item = 17721,工匠
item = 17722,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17723,樂浪工坊
item = 17724,工匠
item = 17725,本工坊專門販售威力強大的攻城兵器。#如果攻城兵器損毀，本店也願收購，報廢處理。
item = 17726,洛陽比武場
item = 17727,武鬥校尉
item = 17728,比武場專供各位好漢小試身手，互相切磋！
item = 17729,成都比武場
item = 17730,武鬥校尉
item = 17731,比武場專供各位好漢小試身手，互相切磋！
item = 17732,建業比武場
item = 17733,武鬥校尉
item = 17734,比武場專供各位好漢小試身手，互相切磋！
item = 17735,汝南比武場
item = 17736,武鬥校尉
item = 17737,比武場專供各位好漢小試身手，互相切磋！
item = 17738,新野比武場
item = 17739,武鬥校尉
item = 17740,比武場專供各位好漢小試身手，互相切磋！
item = 17741,江夏比武場
item = 17742,武鬥校尉
item = 17743,比武場專供各位好漢小試身手，互相切磋！
item = 17744,長安比武場
item = 17745,武鬥校尉
item = 17746,比武場專供各位好漢小試身手，互相切磋！
item = 17747,漢中比武場
item = 17748,武鬥校尉
item = 17749,比武場專供各位好漢小試身手，互相切磋！
item = 17750,襄陽比武場
item = 17751,武鬥校尉
item = 17752,比武場專供各位好漢小試身手，互相切磋！
item = 17753,北平比武場
item = 17754,武鬥校尉
item = 17755,比武場專供各位好漢小試身手，互相切磋！
item = 17756,江州比武場
item = 17757,武鬥校尉
item = 17758,比武場專供各位好漢小試身手，互相切磋！
item = 17759,桂陽比武場
item = 17760,武鬥校尉
item = 17761,比武場專供各位好漢小試身手，互相切磋！
item = 17762,宮殿
item = 17763,官吏
item = 17764,歡迎蒞臨本城，請問有何貴幹？
item = 17765,錢莊
item = 17766,女掌櫃
item = 17767,個人倉庫可以世界通行，每次使用需要 30 銀保管費，請各位多多利用。
item = 17768,羅馬錢莊
item = 17769,羅馬財務官
item = 17770,個人倉庫可以世界通行，每次使用需要 30 銀保管費，請各位多多利用。
item = 17771,羅馬競技場
item = 17772,羅馬獨裁者
item = 17773,競技場專供各位勇士小試身手，互相切磋！
item = 17774,工坊
item = 17775,工匠
item = 17776,比武場專供各位好漢小試身手，互相切磋！
item = 17777,宮殿
item = 17778,官吏
item = 17779,歡迎蒞臨本城，請問有何貴幹？
item = 17780,錢莊
item = 17781,女掌櫃
item = 17782,個人倉庫可以全國通行，每次使用需要 30 兩保管費，請客官多多利用。
item = 17784,天水比武場
item = 17785,武鬥校尉
item = 17786,比武場專供各位好漢小試身手，互相切磋！

item = 17816,無雙市場
item = 17817,女掌櫃
item = 17818,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17819,情義書鋪一
item = 17787,女掌櫃
item = 17788,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17789,情義書鋪二
item = 17790,女掌櫃
item = 17791,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17792,情義煉造房一
item = 17793,女掌櫃
item = 17794,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17795,情義煉造房二
item = 17796,女掌櫃
item = 17797,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17798,情義煉造房三
item = 17799,女掌櫃
item = 17800,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17801,情義工坊一
item = 17802,女掌櫃
item = 17803,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17804,情義工坊二
item = 17805,女掌櫃
item = 17806,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17807,情義工坊三
item = 17808,女掌櫃
item = 17809,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17810,情義兵器鋪一
item = 17811,女掌櫃
item = 17812,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
item = 17813,情義兵器鋪二
item = 17814,女掌櫃
item = 17815,本店專門為起步設定服務。#如果有物品冗余，本店也願收購，報廢處理。
